feature,class
"[-7.3643500e+02  5.8862972e+01 -1.0204894e+01  2.2575954e+01
 -1.5676047e+01  5.4522605e+00 -2.2594259e+01 -1.1410529e+01
 -1.9852177e+01 -1.6403433e+01 -1.3152357e+01 -1.7394030e+01
 -9.2855206e+00 -1.7697393e+01 -7.4507661e+00 -1.3298240e+01
 -5.8415198e+00 -1.0017066e+01 -1.0127348e+01 -6.1974115e+00
 -7.9519982e+00 -3.2630599e+00 -2.7917912e+00  2.3323808e+00
 -3.6093485e+00 -2.0042650e-01 -1.4268448e+00 -8.8873130e-01
  2.0918369e+00  2.0097597e+00  3.9125116e+00  4.1643748e+00
  5.6235404e+00  4.7934022e+00  7.3302655e+00  4.0934305e+00
  6.1986127e+00  4.8685584e+00  3.7718816e+00  5.4019418e+00]",dislike_to_learn
"[-7.6900684e+02  7.1078918e+01 -3.3087654e+01  3.6092419e+01
 -3.4986225e+01  1.7743439e+01 -3.0749512e+01 -2.7612180e-01
 -2.1644726e+01 -1.2166928e+01 -1.3441876e+01 -1.7402271e+01
 -4.7797451e+00 -2.1348286e+01 -3.4082603e+00 -1.7263556e+01
 -2.1592579e+00 -1.1161377e+01 -2.7766852e+00 -6.9605680e+00
 -5.8058314e+00 -3.6712646e-01 -5.9732590e+00  4.0711079e+00
 -4.6797924e+00  3.4061985e+00 -3.3563747e+00  3.0683031e+00
  7.5628050e-02  1.8210720e+00  3.4632280e+00  1.6637306e+00
  5.8038173e+00  2.0431414e+00  7.2918496e+00  1.8713461e+00
  6.9965715e+00  4.2684946e+00  7.3079267e+00  5.6230626e+00]",dislike_to_learn
"[-7.17242859e+02  8.42210999e+01 -4.97964783e+01  2.11394138e+01
 -3.29441299e+01  5.29851103e+00 -4.18137398e+01 -7.48906040e+00
 -1.89446278e+01 -9.60298634e+00 -1.57367325e+01 -2.15579185e+01
 -3.59978652e+00 -1.52029190e+01 -2.06696653e+00 -1.95038910e+01
  4.11492348e-01 -6.61590195e+00 -7.91404343e+00 -8.97221661e+00
 -6.62010288e+00  1.28172278e+00 -3.28634000e+00  2.66666472e-01
 -4.50394678e+00  9.79007816e+00  1.45608437e+00  3.87733865e+00
  1.14140296e+00  2.52766299e+00  5.28197575e+00 -5.91017723e-01
  9.09169972e-01  2.43235171e-01  7.50413513e+00  2.22783971e+00
  7.40215063e+00  3.42321205e+00  4.25243711e+00  3.15354061e+00]",dislike_to_learn
"[-6.79215881e+02  1.00631454e+02 -3.46862106e+01  1.97438586e+00
 -3.89733849e+01 -1.19652987e+00 -3.72627602e+01 -1.00584993e+01
 -2.14023075e+01 -1.84097557e+01 -1.64727592e+01 -2.06084633e+01
 -1.23121033e+01 -1.91560822e+01 -5.12435007e+00 -1.72711620e+01
 -3.27101851e+00 -9.45197201e+00 -1.96265388e+00  3.42082381e-01
 -4.07019138e+00  8.29974040e-02 -3.56769609e+00  2.69705176e+00
 -4.00907373e+00  2.89150310e+00 -7.60250270e-01  3.32380104e+00
  2.97615671e+00  2.33558893e+00  4.22598600e+00  5.68455994e-01
  3.13829279e+00  2.33222961e-01  3.04590416e+00  1.20788956e+00
  5.94661140e+00  5.53221464e+00  8.41435337e+00  8.25398636e+00]",dislike_to_learn
"[-717.243       78.01999    -30.311743    14.167376   -35.72389
    1.7753019  -26.50721     -7.68385    -19.54682    -11.904174
  -14.017174   -21.287336   -10.562448   -20.300865    -6.261148
  -15.643279    -4.4498796   -9.890634    -6.5241947   -3.55312
   -5.1470647   -2.3189337   -4.3699102    2.253591    -2.690631
    4.946578     0.9490209    3.717378     2.0477486    2.5307825
    5.439599     1.9621816    6.215478     4.9548507    6.836293
    2.0007906    3.8828974    3.3814528    5.3165016    5.259473 ]",dislike_to_learn
"[-7.5507562e+02  7.0592903e+01 -4.4760674e+01  2.7851439e+01
 -3.5688950e+01  1.1998799e+01 -3.2929947e+01  1.9256024e+00
 -2.0579544e+01 -1.0506546e+01 -1.1119417e+01 -1.6804459e+01
 -3.0715215e+00 -1.9929310e+01 -4.0370727e+00 -1.6945164e+01
 -2.7580833e-01 -1.0832345e+01 -4.3062420e+00 -5.2079430e+00
 -4.2554770e+00  1.5542529e+00 -2.8340821e+00  5.0603499e+00
 -4.8685670e+00  2.8867216e+00 -2.8937557e+00  3.0447743e+00
  8.3870226e-01  2.8812351e+00  2.5847049e+00  1.4381044e+00
  6.6151795e+00  2.5647342e+00  8.2532835e+00  2.2993968e+00
  5.6719103e+00  2.7100074e+00  5.4389334e+00  3.3598392e+00]",dislike_to_learn
"[-7.71329346e+02  6.85234528e+01 -3.15830727e+01  3.47007828e+01
 -3.64377975e+01  1.52980480e+01 -2.96850853e+01 -1.32246256e+00
 -2.13041039e+01 -1.08406210e+01 -9.02862453e+00 -1.67007885e+01
 -4.37315893e+00 -1.80915775e+01 -2.22602654e+00 -1.55441103e+01
 -1.98292041e+00 -1.17397299e+01 -2.94354630e+00 -5.30996990e+00
 -6.22331285e+00 -5.16820312e-01 -7.27139568e+00  1.22109509e+00
 -5.01755381e+00  2.50916028e+00 -4.50295448e+00 -1.23931296e-01
 -3.50954580e+00 -5.05707741e-01  1.77232647e+00  7.15356171e-02
  4.59665966e+00  7.99745679e-01  7.02916002e+00  3.75837898e+00
  9.16844559e+00  6.59965563e+00  8.81855965e+00  6.71747398e+00]",dislike_to_learn
"[-7.7614868e+02  7.2074638e+01 -3.0772926e+01  3.4471966e+01
 -3.0299726e+01  1.6066355e+01 -2.5980251e+01 -8.3112597e-02
 -1.9870771e+01 -9.4668264e+00 -1.2478184e+01 -1.8609909e+01
 -6.4502463e+00 -2.2079659e+01 -3.9446855e+00 -1.6385170e+01
 -4.8966575e+00 -1.3623146e+01 -4.2357140e+00 -6.1612120e+00
 -7.1384969e+00 -9.2075813e-01 -6.8235483e+00  6.5686655e-01
 -4.4931355e+00  3.9650660e+00 -4.0784192e+00  2.6128535e+00
  1.0134845e+00  1.8207812e+00  4.1471248e+00  1.5253881e+00
  5.5948515e+00  2.5633969e+00  7.5249343e+00  2.8230243e+00
  7.6016726e+00  4.5019879e+00  5.1786785e+00  3.4941442e+00]",dislike_to_learn
"[-666.0644       71.49483     -50.72777       9.411485    -31.52005
    0.8157465   -39.65151     -15.139401    -19.110292    -13.85739
  -18.191639    -21.015228     -4.394582    -15.879978     -6.945601
  -19.352776     -3.5670402    -3.7068071    -5.6783986    -9.389368
   -5.9010153     1.8667458    -3.9116914     1.3073927    -0.7240951
    9.985368      8.193009     10.130482      5.839086      3.5570705
    3.5567       -1.3085332     1.0056528     1.0375708     7.4312553
    2.5867872     2.2293787     0.88610977    4.1023088     4.3046002 ]",dislike_to_learn
"[-7.38426086e+02  6.70109024e+01 -2.59689846e+01  2.06185532e+01
 -2.90402718e+01  8.00894547e+00 -3.04344196e+01 -6.35524797e+00
 -2.28883877e+01 -1.28504000e+01 -1.20571508e+01 -1.83345795e+01
 -7.72693682e+00 -1.71084900e+01 -3.95765138e+00 -1.87185955e+01
 -4.99296665e+00 -1.22561350e+01 -7.38289833e+00 -6.65361547e+00
 -7.34319782e+00 -1.03321886e+00 -4.62756157e+00  3.41902065e+00
 -2.18267584e+00  5.23014784e+00 -1.94213521e-02  2.47056198e+00
  1.04238999e+00  7.47186065e-01  2.90101480e+00  2.44403958e+00
  7.30330610e+00  5.74336767e+00  1.08296175e+01  8.26687145e+00
  9.54203033e+00  3.61796141e+00  2.50103116e+00  1.19505656e+00]",dislike_to_learn
"[-7.4997064e+02  5.7246368e+01 -2.5331369e+01  1.9481863e+01
 -2.1538597e+01  8.3340597e+00 -2.8545580e+01 -4.5966896e-01
 -1.5973671e+01 -8.7139378e+00 -1.0898022e+01 -1.8905512e+01
 -9.3493338e+00 -1.8861971e+01 -4.2883730e+00 -1.8322636e+01
 -6.6245008e+00 -1.0873930e+01 -8.6245728e+00 -7.7535319e+00
 -5.9634295e+00 -1.4390633e+00 -5.3881469e+00  2.1384680e+00
 -3.8467674e+00  1.8719991e+00 -8.8051695e-01  2.4977913e+00
  1.5882446e+00  2.8413885e+00  3.8076913e+00  2.8327682e+00
  5.4926825e+00  2.1588905e+00  6.1907806e+00  2.7305276e+00
  6.2301722e+00  4.5675607e+00  5.4891882e+00  5.2919874e+00]",dislike_to_learn
"[-7.54548584e+02  6.07855682e+01 -2.29041080e+01  2.25158939e+01
 -2.62450485e+01  1.05564165e+01 -2.74812450e+01 -4.32421017e+00
 -1.92640610e+01 -1.47736893e+01 -1.32180090e+01 -1.87771492e+01
 -6.45941877e+00 -1.85672073e+01 -3.96108913e+00 -1.38212557e+01
 -5.96519184e+00 -1.05348072e+01 -5.64529276e+00 -6.72731209e+00
 -6.37778664e+00  8.65100622e-01 -5.88795137e+00  6.29993558e-01
 -2.84177113e+00  2.46697903e+00 -6.55603230e-01  3.46990776e+00
  2.98713589e+00  2.83329225e+00  4.07961607e+00  2.65678763e+00
  5.09945679e+00  2.36497068e+00  7.89835882e+00  4.11066484e+00
  6.26302338e+00  3.74738860e+00  3.71786928e+00  4.19137383e+00]",dislike_to_learn
"[-6.7419000e+02  7.9354446e+01 -4.8141701e+01  1.0727302e+01
 -3.1755550e+01  5.0212960e+00 -3.1746172e+01 -1.1997967e+01
 -1.7020796e+01 -1.5255738e+01 -1.7446663e+01 -2.3292933e+01
 -1.0682310e+01 -1.7611385e+01 -4.8605824e+00 -1.6381634e+01
 -3.5174580e+00 -7.0141540e+00 -9.7657633e+00 -9.2246065e+00
 -8.3883266e+00 -1.7515147e+00 -3.5222073e+00 -2.7520049e-01
 -7.3061132e+00  2.1915808e+00  2.2302480e+00  2.0185583e+00
  1.7272140e+00  3.8060513e+00  5.9889560e+00  6.4256611e+00
  7.9006643e+00  5.2012525e+00  9.8053389e+00  4.0205588e+00
  5.2223778e+00  3.0448384e+00  4.7452741e+00  4.4308701e+00]",dislike_to_learn
"[-7.25748047e+02  6.41784210e+01 -4.20535355e+01  2.22873058e+01
 -3.88149109e+01  9.95585632e+00 -2.99344711e+01 -5.28523111e+00
 -1.52756195e+01 -1.13990765e+01 -1.14434719e+01 -1.62494373e+01
 -6.11132622e+00 -1.91063309e+01 -3.16681480e+00 -1.46349611e+01
 -4.14301825e+00 -1.04179001e+01 -3.80451775e+00 -4.86123276e+00
 -5.66310120e+00 -2.77757001e+00 -7.30904865e+00  3.84428120e+00
 -3.20899057e+00  3.93740821e+00 -7.36113846e-01  2.58402419e+00
  5.84550738e-01  1.64778435e+00  4.76924658e+00  2.29969478e+00
  7.89840412e+00  3.70085621e+00  6.85425806e+00  4.41848421e+00
  6.70444059e+00  4.53625250e+00  5.16567039e+00  2.96033192e+00]",dislike_to_learn
"[-747.8598       67.41107     -20.85238      22.658804    -29.406754
    6.7453737   -27.698395     -4.595405    -19.929867    -11.142227
   -9.660363    -20.0805       -9.883573    -19.59368      -6.421602
  -16.660704     -6.1125665   -11.539398     -8.941253     -9.60588
   -8.086196     -1.4366885    -3.2199192     4.2729588    -2.4462326
    2.4859056    -1.0805495     4.072337      4.679095      6.8270764
    8.07597       5.520036      7.5780935     3.1006513     5.891484
    0.92346334    4.6417413     4.2781124     5.7725196     4.312044  ]",dislike_to_learn
"[-7.4235870e+02  8.6898346e+01 -3.2152882e+01  2.1327940e+01
 -3.5969654e+01  1.2268267e+01 -3.4604202e+01 -2.3118060e+00
 -2.2970366e+01 -1.1819840e+01 -1.0980129e+01 -1.9331161e+01
 -7.6663733e+00 -2.0763056e+01 -3.6418889e+00 -1.7792839e+01
 -4.1206889e+00 -1.2657534e+01 -5.5775318e+00 -6.2367759e+00
 -4.1774769e+00  4.1433439e-01 -4.3786135e+00  3.5075953e+00
 -4.9216633e+00  4.2131224e+00 -2.9022386e+00  1.8833549e+00
 -6.6587901e-01  4.5315337e-01  1.9664649e+00  7.2011387e-01
  5.1236043e+00  4.7395238e-01  5.8625493e+00  3.4676499e+00
  8.9545479e+00  5.2199950e+00  6.4277949e+00  5.1014662e+00]",dislike_to_learn
"[-7.2632111e+02  5.9385380e+01 -1.9641899e+01  1.3772303e+01
 -1.9714989e+01  2.5743642e+00 -2.3334707e+01 -1.0645440e+01
 -1.8335642e+01 -9.3613520e+00 -1.0467613e+01 -1.7033361e+01
 -9.0901470e+00 -1.6231541e+01 -7.2880936e+00 -1.4433081e+01
 -6.2918987e+00 -1.1521276e+01 -7.5132732e+00 -8.2419662e+00
 -1.0471569e+01 -3.0153086e+00 -5.6008816e+00  4.4706333e-01
 -1.5443398e+00  1.5327728e+00 -7.7377295e-01  1.7433586e+00
  1.1057832e+00  1.4089737e+00  4.1633782e+00  4.0798416e+00
  7.5202055e+00  5.4798708e+00  7.0174475e+00  4.3544688e+00
  6.6423907e+00  5.4556608e+00  5.3397932e+00  5.2477536e+00]",dislike_to_learn
"[-682.3974      85.89385    -49.963543    15.410878   -35.11246
    4.1756096  -35.342175   -12.215554   -21.447058   -12.420099
  -16.357447   -22.45311     -6.6137276  -16.247898    -3.8501828
  -18.357454    -0.7418168   -3.4765065   -6.3711033  -10.309606
   -9.322496    -1.4540658   -6.3614383   -4.2705894   -7.843341
    5.519067     1.9325066    3.8376667    4.9783173    6.818697
    5.2625766    2.218255     3.1777432    2.6304722    8.907757
    2.7511165    5.610838     1.600829     5.553764     4.8946724]",dislike_to_learn
"[-7.10330566e+02  5.22882729e+01 -1.79543991e+01  9.04953194e+00
 -1.35736685e+01 -4.06902218e+00 -1.78949089e+01 -1.09646358e+01
 -1.63495502e+01 -1.15071440e+01 -1.10723982e+01 -1.72765961e+01
 -9.32234478e+00 -1.34933987e+01 -9.83689022e+00 -1.12056684e+01
 -3.96137786e+00 -5.61825132e+00 -3.97971725e+00 -2.47400045e+00
 -5.45484829e+00 -1.09853637e+00 -3.67047930e+00 -2.00035691e+00
 -7.08569661e-02  2.11150169e+00 -1.41078115e+00  3.20679769e-02
  2.78261042e+00  2.93093228e+00  4.69320917e+00  4.16953373e+00
  5.38365364e+00  2.96673131e+00  3.31408930e+00  3.21916485e+00
  4.23223829e+00  5.70108986e+00  4.27014208e+00  4.11656380e+00]",dislike_to_learn
"[-7.42322205e+02  7.07840195e+01 -3.79795570e+01  2.49834461e+01
 -3.66449738e+01  1.19891844e+01 -2.84228592e+01 -4.57485390e+00
 -2.26055164e+01 -1.24464655e+01 -1.41346607e+01 -1.87262363e+01
 -6.79206133e+00 -2.07637024e+01 -2.49868512e+00 -1.44279261e+01
 -5.20248234e-01 -1.08139305e+01 -5.58333063e+00 -5.69616604e+00
 -4.47164631e+00  2.93552786e-01 -4.80517435e+00  5.88024092e+00
 -2.95371604e+00  3.26969814e+00 -2.23688817e+00  2.85754156e+00
  1.12660015e+00  2.37206554e+00  3.41562152e+00  1.01551139e+00
  5.65607882e+00  9.88741279e-01  5.29839659e+00  3.77881169e-01
  5.35695839e+00  2.13638473e+00  4.54293489e+00  4.73810148e+00]",dislike_to_learn
"[-7.5268854e+02  5.7488079e+01 -2.5435961e+01  1.8424582e+01
 -2.1893623e+01  7.0205712e+00 -2.6572742e+01 -9.6938953e+00
 -1.7655315e+01 -1.2296514e+01 -1.2923979e+01 -1.6177427e+01
 -5.6919193e+00 -1.7309464e+01 -3.3688622e+00 -1.1881035e+01
 -4.8504167e+00 -7.9404159e+00 -6.4688678e+00 -5.8502026e+00
 -5.7019796e+00 -2.3562775e+00 -5.9305558e+00  1.7992131e+00
 -1.3456434e+00  3.3085520e+00 -7.5889653e-01  2.2500038e+00
  1.6884904e+00  1.4565381e+00  3.1375339e+00  1.2414873e+00
  4.7788353e+00  4.5464745e-01  3.4136617e+00  1.7072529e+00
  4.6474628e+00  3.3195753e+00  3.3087952e+00  5.5368767e+00]",dislike_to_learn
"[-7.6334143e+02  5.0884560e+01 -2.5189505e+01  2.3242685e+01
 -2.6390944e+01  9.7151556e+00 -2.3552969e+01 -9.9257219e-01
 -1.4231251e+01 -1.3178755e+01 -9.0462418e+00 -1.2728561e+01
 -7.6830049e+00 -1.6719175e+01 -3.5097263e+00 -1.6294250e+01
 -4.4540763e+00 -1.0052937e+01 -6.5771241e+00 -6.6304908e+00
 -7.8746557e+00 -2.3041682e+00 -7.5509634e+00  4.8610061e-01
 -4.1532474e+00  2.7498877e-01 -1.5090621e+00  2.8573601e+00
  1.0076971e+00  8.1961995e-01  1.4404703e+00 -3.0433846e-01
  4.8840857e+00  4.3343272e+00  1.1418796e+01  8.2231131e+00
  9.7458315e+00  6.5470843e+00  5.4974856e+00  4.5806274e+00]",dislike_to_learn
"[-717.92316     79.28091    -39.45685     28.015997   -36.405144
    8.610444   -38.408325    -2.2233593  -22.449995   -16.221924
  -13.6313095  -18.442488    -8.022418   -22.276962    -4.147072
  -17.397621    -1.2064466  -11.922048    -4.913258    -6.373108
   -7.689278    -1.8629929   -6.4233847    2.9657812   -5.101006
    4.3615365   -3.7475562    2.274209     2.2879333    1.8649045
    5.201219     3.435657     6.7125483    2.874549     6.87812
    2.67118      7.3322015    3.698188     5.9028172    5.362535 ]",dislike_to_learn
"[-6.9030988e+02  4.5762817e+01 -1.6847546e+01  1.1856713e+01
 -1.0666563e+01 -5.5586514e+00 -1.4047567e+01 -1.1733349e+01
 -1.5843742e+01 -1.0506022e+01 -1.4050724e+01 -1.6514267e+01
 -7.1324801e+00 -1.4143370e+01 -7.7032247e+00 -6.6103172e+00
 -5.5717068e+00 -4.0539432e+00 -2.9878058e+00 -5.4541140e+00
 -4.0360808e+00 -1.9130652e-01 -1.9712443e+00  2.1870730e+00
  1.3875549e+00  1.9359909e+00  9.9485272e-01  1.3151520e+00
  1.6999815e+00  1.2664803e+00  2.2915750e+00  8.2278556e-01
  3.2018230e+00  4.7813053e+00  4.2751241e+00  3.4481559e+00
  3.5300300e+00  3.3613539e+00  3.8073421e+00  3.2136254e+00]",dislike_to_learn
"[-7.13353577e+02  6.70700531e+01 -1.86009617e+01  1.41160355e+01
 -2.71768379e+01 -1.35339618e-01 -3.22087021e+01 -9.57345486e+00
 -2.40340214e+01 -1.36576862e+01 -1.46946878e+01 -2.05419464e+01
 -8.07107067e+00 -2.01305923e+01 -6.40223455e+00 -1.50993834e+01
 -4.43336010e+00 -9.31702518e+00 -5.72355843e+00 -5.02808571e+00
 -6.72487640e+00 -1.05049685e-01 -2.75038218e+00  3.90568829e+00
 -1.02024853e+00  4.47726822e+00  2.35559747e-01  3.62240171e+00
  2.75057983e+00  1.81814516e+00  4.50532103e+00  2.06524920e+00
  5.18036795e+00  2.36271834e+00  6.41397476e+00  2.23224711e+00
  4.32773638e+00  5.07159042e+00  4.57194757e+00  3.44153309e+00]",dislike_to_learn
"[-7.3210223e+02  8.2246788e+01 -3.1569992e+01  1.8950951e+01
 -3.4382858e+01  4.5951705e+00 -3.0218916e+01 -4.0697389e+00
 -2.0753670e+01 -1.3102156e+01 -1.0163357e+01 -1.9636625e+01
 -9.1942024e+00 -1.8682384e+01 -4.0472589e+00 -1.6408232e+01
 -3.2722712e+00 -9.3716068e+00 -6.0442777e+00 -5.5811119e+00
 -8.3476534e+00 -4.5891857e+00 -8.3691168e+00  3.7134764e-01
 -5.4185719e+00  5.8538491e-01 -2.1266270e+00  4.5583086e+00
  3.9677126e+00  7.6285553e+00  1.1494108e+01  6.7590871e+00
  1.0542596e+01  4.5868077e+00  6.7999048e+00  3.5359476e+00
  6.7038789e+00  5.6005559e+00  5.0980263e+00  2.8926075e+00]",dislike_to_learn
